Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2021†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†","Shiga toxin-producing Escherichia coli(STEC), Cum 2021†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2021†","Shigellosis, Cum 2021†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NEW ENGLAND,2021,1,,-,1,,,-,,-,1,,12,,1,,7,,,-,11,,,-,9,,,NEW ENGLAND,20210102,
MAINE,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,1,,-,1,,,-,,-,1,,6,,1,,4,,,-,7,,,-,6,,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,4,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574)
VERMONT,2021,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,3,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,1,,-,0,,,-,,-,3,,48,,3,,8,,6,,47,,6,,38,,,MIDDLE ATLANTIC,20210109,
NEW YORK,2021,1,,-,0,,,-,,-,2,,21,,2,,,-,,-,9,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241)
NEW YORK CITY,2021,1,,-,0,,,-,,-,,-,20,,,-,5,,4,,28,,4,,21,,,NEW YORK CITY,20210112,
EAST NORTH CENTRAL,2021,1,,-,0,,,-,,-,,-,44,,,-,33,,,-,31,,,-,23,,,EAST NORTH CENTRAL,20210114,
INDIANA,2021,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,3,,,-,1,,INDIANA,,20210116,POINT (-86.2818 39.919991)
MICHIGAN,2021,1,,-,0,,,-,,-,,-,5,,,-,2,,,-,6,,,-,5,,MICHIGAN,,20210117,POINT (-85.730977 44.874798)
WISCONSIN,2021,1,,-,0,,,-,,-,,-,14,,,-,11,,,-,6,,,-,1,,WISCONSIN,,20210119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,1,,-,2,,,-,,-,,-,45,,,-,12,,,-,10,,,-,11,,,WEST NORTH CENTRAL,20210120,
IOWA,2021,1,,-,0,,,-,,-,,-,23,,,-,5,,,-,5,,,-,3,,IOWA,,20210121,POINT (-93.500061 42.074659)
MINNESOTA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153)
MISSOURI,2021,1,,-,2,,,-,,-,,-,10,,,-,3,,,-,4,,,-,1,,MISSOURI,,20210124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2021,1,,-,2,,,-,,-,,-,5,,,-,,-,,-,2,,,-,5,,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305)
DELAWARE,2021,1,,-,0,,,-,,-,,-,3,,,-,1,,1,,2,,1,,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926)
NORTH CAROLINA,2021,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,11,,,-,14,,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2021,1,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,1,,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572)
VIRGINIA,2021,1,,-,0,,,-,,-,3,,9,,3,,,-,2,,6,,2,,,-,VIRGINIA,,20210136,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2021,1,,-,0,,,-,,-,,-,18,,,-,4,,,-,40,,,-,29,,,EAST SOUTH CENTRAL,20210138,
MISSISSIPPI,2021,1,,-,0,,,-,,-,,-,3,,,-,2,,,-,5,,,-,3,,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378)
TENNESSEE,2021,1,,-,0,,,-,,-,,-,13,,,-,1,,,-,7,,,-,3,,TENNESSEE,,20210142,POINT (-86.343226 35.842998)
ARKANSAS,2021,1,,-,0,,,-,,-,,-,7,,,-,,-,1,,5,,1,,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825)
LOUISIANA,2021,1,,-,0,,,-,,-,,-,4,,,-,2,,2,,16,,2,,10,,LOUISIANA,,20210145,POINT (-91.840238 30.921314)
OKLAHOMA,2021,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,11,,,-,1,,OKLAHOMA,,20210146,POINT (-97.508297 35.583449)
TEXAS,2021,1,,-,0,,,-,,-,,-,19,,,-,1,,,-,91,,,-,15,,TEXAS,,20210147,POINT (-99.317341 31.447238)
MOUNTAIN,2021,1,,-,3,,,-,,-,4,,32,,4,,16,,5,,25,,5,,17,,,MOUNTAIN,20210148,
COLORADO,2021,1,,-,3,,,-,,-,2,,14,,2,,6,,2,,17,,2,,5,,COLORADO,,20210150,POINT (-105.547832 38.998552)
IDAHO,2021,1,,-,0,,,-,,-,,-,9,,,-,1,,,-,2,,,-,,-,IDAHO,,20210151,POINT (-114.659366 44.389073)
MONTANA,2021,1,,-,0,,,-,,-,,-,5,,,-,1,,,-,2,,,-,1,,MONTANA,,20210152,POINT (-109.645127 47.033521)
NEVADA,2021,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,3,,,-,1,,NEVADA,,20210153,POINT (-114.916992 39.283294)
UTAH,2021,1,,-,0,,,-,,-,,-,15,,,-,1,,1,,3,,1,,1,,UTAH,,20210155,POINT (-111.678222 39.323779)
PACIFIC,2021,1,,-,1,,,-,,-,,-,47,,,-,56,,4,,84,,4,,47,,,PACIFIC,20210157,
ALASKA,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,ALASKA,,20210158,POINT (-151.631889 63.631126)
HAWAII,2021,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,3,,,-,1,,HAWAII,,20210160,POINT (-157.854309 21.361013)
OREGON,2021,1,,-,1,,,-,,-,,-,11,,,-,8,,2,,23,,2,,1,,OREGON,,20210161,POINT (-120.605279 43.940449)
WASHINGTON,2021,1,,-,0,,,-,,-,,-,9,,,-,5,,2,,14,,2,,9,,WASHINGTON,,20210162,POINT (-120.592492 47.411715)
US TERRITORIES,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210163,
AMERICAN SAMOA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210164,
NORTHERN MARIANA ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210165,POINT (145.725693 15.1834)
GUAM,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210166,POINT (144.653198 13.3532)
PUERTO RICO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210167,POINT (-66.414655 18.215692)
US RESIDENTS,2021,1,,-,4,,,-,,-,11,,221,,11,,161,,21,,336,,21,,231,,,US RESIDENTS,20210101,
CONNECTICUT,2021,1,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,3,,CONNECTICUT,,20210103,POINT (-72.738288 41.575155)
NEW JERSEY,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,10,,,-,8,,NEW JERSEY,,20210110,POINT (-74.655514 40.110253)
PENNSYLVANIA,2021,1,,-,0,,,-,,-,1,,13,,1,,3,,2,,11,,2,,9,,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694)
ILLINOIS,2021,1,,-,0,,,-,,-,,-,14,,,-,11,,,-,15,,,-,8,,ILLINOIS,,20210115,POINT (-89.148632 40.124144)
OHIO,2021,1,,-,0,,,-,,-,,-,21,,,-,6,,,-,10,,,-,8,,OHIO,,20210118,POINT (-82.70936 40.415534)
KANSAS,2021,1,,-,0,,,-,,-,,-,8,,,-,2,,,-,1,,,-,1,,KANSAS,,20210122,POINT (-98.38018 38.484729)
NEBRASKA,2021,1,,-,0,,,-,,-,,-,11,,,-,1,,,-,4,,,-,1,,NEBRASKA,,20210125,POINT (-99.810595 41.527099)
SOUTH DAKOTA,2021,1,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2021,1,,-,0,,,-,,-,3,,42,,3,,21,,3,,58,,3,,31,,,SOUTH ATLANTIC,20210128,
DISTRICT OF COLUMBIA,2021,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785)
GEORGIA,2021,1,,-,0,,,-,,-,,-,13,,,-,7,,,-,19,,,-,9,,GEORGIA,,20210132,POINT (-83.426574 32.638481)
MARYLAND,2021,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,6,,,-,2,,MARYLAND,,20210133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2021,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,1,,,-,,-,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579)
ALABAMA,2021,1,,-,0,,,-,,-,,-,8,,,-,,-,,-,32,,,-,21,,ALABAMA,,20210139,POINT (-86.844516 32.756889)
KENTUCKY,2021,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,3,,,-,2,,KENTUCKY,,20210140,POINT (-85.290484 37.526683)
WEST SOUTH CENTRAL,2021,1,,-,0,,,-,,-,,-,24,,,-,4,,3,,99,,3,,26,,,WEST SOUTH CENTRAL,20210143,
US RESIDENTS,2021,13,,-,4,,,-,,-,42,,247,,881,,2049,,44,,167,,1015,,3618,,,US RESIDENTS,20211301,
ARIZONA,2021,1,,-,0,,,-,,-,2,,7,,2,,6,,2,,11,,2,,7,,ARIZONA,,20210149,POINT (-111.664616 34.293239)
NEW MEXICO,2021,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,5,,,-,2,,NEW MEXICO,,20210154,POINT (-106.108388 34.421369)
WYOMING,2021,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,WYOMING,,20210156,POINT (-107.55145 42.999627)
CALIFORNIA,2021,1,,-,0,,,-,,-,,-,37,,,-,43,,,-,76,,,-,36,,CALIFORNIA,,20210159,POINT (-119.662127 37.211164)
US RESIDENTS,2021,3,,-,4,,,-,,-,23,,224,,78,,516,,25,,336,,114,,802,,,US RESIDENTS,20210301,
US RESIDENTS,2021,14,,-,4,,,-,,-,50,,247,,995,,2136,,38,,164,,1079,,3674,,,US RESIDENTS,20211401,
TOTAL,2021,2,,-,4,,,-,,-,17,,224,,30,,335,,35,,336,,69,,511,,,TOTAL,20210270,
FLORIDA,2021,1,,-,0,,,-,,-,,-,24,,,-,8,,,-,28,,,-,5,,FLORIDA,,20210131,POINT (-82.420978 28.260731)
U.S. VIRGIN ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210168,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20210169,
TOTAL,2021,1,,-,4,,,-,,-,11,,221,,11,,161,,21,,336,,21,,231,,,TOTAL,20210170,
US RESIDENTS,2021,2,,-,4,,,-,,-,17,,224,,30,,335,,35,,336,,69,,511,,,US RESIDENTS,20210201,
NEW HAMPSHIRE,2021,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429)
NEW YORK,2021,2,,-,0,,,-,,-,4,,21,,6,,3,,,-,9,,,-,2,,NEW YORK,,20210211,POINT (-75.59655 42.921241)
PACIFIC,2021,2,,-,1,,,-,,-,3,,47,,3,,100,,8,,65,,17,,131,,,PACIFIC,20210257,
WEST SOUTH CENTRAL,2021,2,,-,0,,,-,,-,,-,24,,,-,7,,3,,100,,7,,65,,,WEST SOUTH CENTRAL,20210243,
NEBRASKA,2021,2,,-,0,,,-,,-,,-,11,,,-,5,,,-,4,,,-,2,,NEBRASKA,,20210225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,2,,-,0,,,-,,-,,-,18,,1,,17,,1,,40,,1,,59,,,EAST SOUTH CENTRAL,20210238,
NORTH DAKOTA,2021,2,,-,2,,,-,,-,,-,5,,,-,,-,,-,2,,,-,5,,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305)
NEVADA,2021,2,,-,0,,,-,,-,,-,2,,,-,3,,,-,3,,,-,3,,NEVADA,,20210253,POINT (-114.916992 39.283294)
ILLINOIS,2021,2,,-,0,,,-,,-,,-,14,,,-,21,,,-,15,,1,,23,,ILLINOIS,,20210215,POINT (-89.148632 40.124144)
IOWA,2021,2,,-,0,,,-,,-,,-,23,,,-,10,,,-,5,,1,,5,,IOWA,,20210221,POINT (-93.500061 42.074659)
TEXAS,2021,2,,-,0,,,-,,-,,-,19,,,-,3,,2,,91,,3,,36,,TEXAS,,20210247,POINT (-99.317341 31.447238)
ALASKA,2021,2,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,ALASKA,,20210258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,3,,,-,1,,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785)
WASHINGTON,2021,2,,-,0,,,-,,-,,-,8,,,-,14,,5,,15,,9,,13,,WASHINGTON,,20210262,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,2,,-,1,,,-,,-,1,,12,,1,,14,,1,,11,,1,,18,,,NEW ENGLAND,20210202,
RHODE ISLAND,2021,2,,-,0,,,-,,-,,-,3,,,-,2,,,-,4,,,-,,-,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574)
OREGON,2021,2,,-,1,,,-,,-,2,,11,,2,,12,,1,,23,,3,,3,,OREGON,,20210261,POINT (-120.605279 43.940449)
DELAWARE,2021,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,1,,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926)
ALABAMA,2021,2,,-,0,,,-,,-,,-,8,,,-,2,,,-,32,,,-,42,,ALABAMA,,20210239,POINT (-86.844516 32.756889)
KANSAS,2021,2,,-,0,,,-,,-,,-,8,,,-,6,,,-,1,,,-,1,,KANSAS,,20210222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,2,,-,0,,,-,,-,,-,6,,,-,5,,,-,11,,,-,23,,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603)
GUAM,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532)
NEW JERSEY,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,10,,,-,15,,NEW JERSEY,,20210210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,5,,,-,3,,NEW MEXICO,,20210254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,2,,-,0,,,-,,-,,-,44,,1,,57,,1,,31,,3,,49,,,EAST NORTH CENTRAL,20210214,
TENNESSEE,2021,2,,-,0,,,-,,-,,-,13,,1,,6,,1,,7,,1,,8,,TENNESSEE,,20210242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,2,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,7,,CONNECTICUT,,20210203,POINT (-72.738288 41.575155)
MARYLAND,2021,2,,-,0,,,-,,-,,-,6,,,-,4,,,-,6,,,-,6,,MARYLAND,,20210233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,2,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,3,,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,2,,-,0,,,-,,-,,-,6,,,-,1,,,-,11,,,-,8,,OKLAHOMA,,20210246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834)
OHIO,2021,2,,-,0,,,-,,-,,-,21,,,-,13,,,-,10,,,-,11,,OHIO,,20210218,POINT (-82.70936 40.415534)
MINNESOTA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153)
LOUISIANA,2021,2,,-,0,,,-,,-,,-,4,,,-,2,,1,,16,,3,,20,,LOUISIANA,,20210245,POINT (-91.840238 30.921314)
HAWAII,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,3,,,-,3,,HAWAII,,20210260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,2,,-,0,,,-,,-,4,,42,,7,,43,,4,,59,,7,,64,,,SOUTH ATLANTIC,20210228,
PENNSYLVANIA,2021,2,,-,0,,,-,,-,,-,13,,1,,8,,4,,11,,6,,16,,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694)
UTAH,2021,2,,-,0,,,-,,-,,-,15,,,-,4,,1,,3,,2,,4,,UTAH,,20210255,POINT (-111.678222 39.323779)
COLORADO,2021,2,,-,3,,,-,,-,4,,14,,5,,14,,4,,17,,7,,8,,COLORADO,,20210250,POINT (-105.547832 38.998552)
VERMONT,2021,2,,-,0,,,-,,-,,-,4,,,-,3,,,-,3,,,-,,-,VERMONT,,20210208,POINT (-72.662695 44.075252)
KENTUCKY,2021,2,,-,0,,,-,,-,,-,4,,,-,4,,,-,3,,,-,5,,KENTUCKY,,20210240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210267,POINT (-66.414655 18.215692)
MAINE,2021,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,MAINE,,20210204,POINT (-69.06137 45.117911)
VIRGINIA,2021,2,,-,0,,,-,,-,3,,9,,6,,1,,4,,6,,6,,,-,VIRGINIA,,20210236,POINT (-78.666382 37.510861)
ARIZONA,2021,2,,-,0,,,-,,-,1,,7,,4,,13,,1,,11,,3,,11,,ARIZONA,,20210249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210264,
WISCONSIN,2021,2,,-,0,,,-,,-,,-,14,,1,,15,,1,,6,,1,,2,,WISCONSIN,,20210219,POINT (-89.732969 44.639954)
IDAHO,2021,2,,-,0,,,-,,-,,-,9,,,-,1,,,-,2,,,-,,-,IDAHO,,20210251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210268,POINT (-64.840836 18.060868)
MICHIGAN,2021,2,,-,0,,,-,,-,,-,5,,,-,3,,,-,6,,1,,10,,MICHIGAN,,20210217,POINT (-85.730977 44.874798)
GEORGIA,2021,2,,-,0,,,-,,-,1,,14,,1,,10,,,-,19,,,-,16,,GEORGIA,,20210232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,2,,-,0,,,-,,-,,-,20,,1,,17,,7,,28,,14,,45,,,NEW YORK CITY,20210212,
ARKANSAS,2021,2,,-,0,,,-,,-,,-,7,,,-,1,,,-,5,,1,,1,,ARKANSAS,,20210244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,2,,-,0,,,-,,-,,-,1,,,-,5,,,-,5,,,-,4,,MISSISSIPPI,,20210241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,2,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,SOUTH DAKOTA,,20210227,POINT (-100.230491 44.43614)
WYOMING,2021,2,,-,0,,,-,,-,,-,6,,,-,1,,,-,0,,,-,,-,WYOMING,,20210256,POINT (-107.55145 42.999627)
MISSOURI,2021,2,,-,2,,,-,,-,,-,10,,,-,8,,,-,4,,,-,4,,MISSOURI,,20210224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,2,,-,0,,,-,,-,4,,48,,8,,28,,11,,47,,20,,78,,,MIDDLE ATLANTIC,20210209,
CALIFORNIA,2021,2,,-,0,,,-,,-,1,,37,,1,,72,,2,,55,,5,,112,,CALIFORNIA,,20210259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,2,,-,0,,,-,,-,,-,4,,,-,3,,,-,1,,,-,,-,WEST VIRGINIA,,20210237,POINT (-80.613729 38.642579)
FLORIDA,2021,2,,-,0,,,-,,-,,-,24,,,-,16,,,-,28,,,-,15,,FLORIDA,,20210231,POINT (-82.420978 28.260731)
MONTANA,2021,2,,-,0,,,-,,-,,-,5,,,-,1,,,-,2,,,-,1,,MONTANA,,20210252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,2,,-,2,,,-,,-,,-,45,,,-,31,,,-,10,,1,,17,,,WEST NORTH CENTRAL,20210220,
MASSACHUSETTS,2021,2,,-,1,,,-,,-,1,,6,,1,,5,,1,,7,,1,,11,,MASSACHUSETTS,,20210205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,2,,-,3,,,-,,-,5,,32,,9,,38,,6,,25,,12,,30,,,MOUNTAIN,20210248,
INDIANA,2021,2,,-,0,,,-,,-,,-,7,,,-,5,,,-,3,,,-,3,,INDIANA,,20210216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20210269,
US TERRITORIES,2021,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210263,
TOTAL,2021,3,,-,4,,,-,,-,23,,224,,78,,516,,25,,336,,114,,803,,,TOTAL,20210370,
NEW HAMPSHIRE,2021,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210306,POINT (-71.57139 43.680429)
NEW YORK,2021,3,,-,0,,,-,,-,1,,21,,4,,7,,1,,9,,1,,10,,NEW YORK,,20210311,POINT (-75.59655 42.921241)
PACIFIC,2021,3,,-,1,,,-,,-,2,,47,,8,,133,,7,,65,,39,,191,,,PACIFIC,20210357,
WEST SOUTH CENTRAL,2021,3,,-,0,,,-,,-,5,,24,,5,,19,,2,,100,,11,,131,,,WEST SOUTH CENTRAL,20210343,
NEBRASKA,2021,3,,-,0,,,-,,-,,-,11,,,-,5,,,-,4,,,-,3,,NEBRASKA,,20210325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,3,,-,0,,,-,,-,1,,18,,2,,23,,1,,40,,4,,87,,,EAST SOUTH CENTRAL,20210338,
NORTH DAKOTA,2021,3,,-,2,,,-,,-,,-,5,,1,,1,,,-,2,,,-,5,,NORTH DAKOTA,,20210326,POINT (-100.46931 47.446305)
NEVADA,2021,3,,-,0,,,-,,-,,-,2,,,-,4,,,-,3,,,-,5,,NEVADA,,20210353,POINT (-114.916992 39.283294)
ILLINOIS,2021,3,,-,0,,,-,,-,,-,14,,,-,25,,,-,15,,1,,30,,ILLINOIS,,20210315,POINT (-89.148632 40.124144)
IOWA,2021,3,,-,0,,,-,,-,1,,23,,1,,15,,,-,4,,,-,10,,IOWA,,20210321,POINT (-93.500061 42.074659)
TEXAS,2021,3,,-,0,,,-,,-,1,,20,,1,,14,,1,,91,,6,,81,,TEXAS,,20210347,POINT (-99.317341 31.447238)
ALASKA,2021,3,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,,-,ALASKA,,20210358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,3,,,-,1,,DISTRICT OF COLUMBIA,,20210330,POINT (-77.016275 38.904785)
WASHINGTON,2021,3,,-,0,,,-,,-,,-,8,,,-,22,,3,,15,,20,,16,,WASHINGTON,,20210362,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,3,,-,1,,,-,,-,,-,12,,1,,22,,,-,11,,1,,28,,,NEW ENGLAND,20210302,
RHODE ISLAND,2021,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,4,,,-,2,,RHODE ISLAND,,20210307,POINT (-71.534637 41.572574)
OREGON,2021,3,,-,1,,,-,,-,,-,10,,4,,13,,1,,22,,8,,5,,OREGON,,20210361,POINT (-120.605279 43.940449)
DELAWARE,2021,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,2,,1,,1,,DELAWARE,,20210329,POINT (-75.452394 38.994926)
ALABAMA,2021,3,,-,0,,,-,,-,,-,8,,,-,3,,,-,32,,,-,64,,ALABAMA,,20210339,POINT (-86.844516 32.756889)
KANSAS,2021,3,,-,0,,,-,,-,,-,8,,,-,9,,,-,1,,,-,2,,KANSAS,,20210322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,3,,-,0,,,-,,-,,-,6,,1,,10,,,-,11,,,-,31,,NORTH CAROLINA,,20210334,POINT (-79.130883 35.52603)
GUAM,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210366,POINT (144.653198 13.3532)
NEW JERSEY,2021,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,7,,,-,25,,NEW JERSEY,,20210310,POINT (-74.655514 40.110253)
NEW MEXICO,2021,3,,-,0,,,-,,-,,-,3,,,-,3,,,-,5,,,-,5,,NEW MEXICO,,20210354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,3,,-,0,,,-,,-,3,,44,,13,,81,,2,,31,,11,,67,,,EAST NORTH CENTRAL,20210314,
TENNESSEE,2021,3,,-,0,,,-,,-,1,,13,,2,,10,,,-,7,,1,,9,,TENNESSEE,,20210342,POINT (-86.343226 35.842998)
CONNECTICUT,2021,3,,-,0,,,-,,-,,-,5,,,-,4,,,-,4,,,-,11,,CONNECTICUT,,20210303,POINT (-72.738288 41.575155)
MARYLAND,2021,3,,-,0,,,-,,-,,-,6,,,-,8,,,-,6,,,-,11,,MARYLAND,,20210333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,3,,-,0,,,-,,-,,-,5,,,-,3,,,-,4,,,-,4,,SOUTH CAROLINA,,20210335,POINT (-80.864614 33.878572)
