Survey Years,Sex,Age Group,Race and Hispanic Origin,Infectious Disease,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Notea
2005-2006,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),48.1,2.0,43.8,52.4,,,
2005-2006,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2005-2006,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),10.2,1.4,7.4,13.7,,,
2005-2006,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.3,1.2,8.0,13.1,,,
2005-2006,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),20.9,2.6,15.6,27.1,,,
2005-2006,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),25.8,2.1,21.4,30.6,,,
2005-2006,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),24.5,2.0,20.3,29.0,,,
2005-2006,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),14.6,1.9,10.8,19.1,,,
2005-2006,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),26.9,3.5,19.7,35.1,,,
2005-2006,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),30.4,3.1,23.9,37.6,,,
2005-2006,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),14.3,1.6,11.1,18.0,,,
2005-2006,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),6.1,1.1,3.9,9.0,,,
2005-2006,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),14.8,2.5,9.9,20.9,,,
2005-2006,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),20.9,3.2,14.6,28.6,,,
2007-2008,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),18.7,1.3,16.1,21.6,,,
2007-2008,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),14.2,1.6,11.0,17.8,,,
2007-2008,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),47.3,1.8,42.8,51.8,,,
2007-2008,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2007-2008,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),20.5,1.6,17.2,24.0,,,
2007-2008,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),13.2,1.8,9.6,17.4,,,
2007-2008,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.7,1.1,8.4,13.3,,,
2007-2008,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),18.3,1.5,15.1,21.8,,,
2007-2008,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),26.3,2.8,20.6,32.7,,,
2007-2008,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),24.4,1.3,21.6,27.3,,,
2007-2008,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),14.2,1.9,10.4,18.6,,,
2007-2008,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),23.5,2.1,19.1,28.4,,,
2007-2008,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),34.2,2.5,28.9,39.8,,,
2007-2008,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),13.0,1.5,9.9,16.5,,,
2007-2008,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),7.1,1.0,4.8,10.2,,,
2007-2008,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),12.9,1.7,9.5,17.0,,,
2007-2008,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),18.2,3.7,11.0,27.5,,,
2009-2010,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),17.5,0.6,16.2,19.0,,,
2009-2010,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),12.8,0.8,11.1,14.8,,,
2009-2010,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),48.8,3.0,42.2,55.4,,,
2009-2010,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,*
2009-2010,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),16.7,1.3,14.0,19.7,,,
2009-2010,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),13.4,1.5,10.3,16.9,,,
2009-2010,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),8.8,0.9,7.0,10.8,,,
2009-2010,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),18.6,1.3,15.9,21.5,,,
2009-2010,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),24.8,1.6,21.4,28.4,,,
2009-2010,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),23.0,1.1,20.6,25.5,,,
2009-2010,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),12.7,1.5,9.7,16.1,,,
2009-2010,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),25.2,2.0,21.0,29.9,,,
2009-2010,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),30.3,2.7,24.7,36.4,,,
2009-2010,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),11.9,0.4,10.3,13.8,,,
2009-2010,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),4.9,0.6,3.1,7.4,,,
2009-2010,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),11.6,1.2,8.7,14.9,,,
2009-2010,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),19.0,0.8,15.6,22.8,,,
2011-2012,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),18.5,1.4,15.7,21.6,,,
2011-2012,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),14.8,1.6,11.5,18.7,,,
2011-2012,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),41.3,1.8,37.3,45.4,,,
2011-2012,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),6.7,1.1,4.5,9.6,,,
2011-2012,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),18.5,2.4,13.7,24.1,,,
2011-2012,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),16.5,2.2,12.0,21.9,,,
2011-2012,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),8.3,1.9,4.6,13.4,,,
2011-2012,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),19.4,1.8,15.7,23.5,,,
2011-2012,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),27.6,2.9,21.6,34.3,,,
2011-2012,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),24.1,1.6,20.8,27.6,,,
2011-2012,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),11.7,3.1,5.9,20.1,,,
2011-2012,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),26.3,2.8,20.5,32.8,,,
2011-2012,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),33.9,2.8,28.1,40.0,,,
2011-2012,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),12.8,1.3,10.1,15.9,,,
2011-2012,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),4.8,1.3,2.4,8.3,,,
2011-2012,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),12.2,1.6,9.0,16.0,,,
2011-2012,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),21.1,3.3,14.4,29.2,,,
2013-2014,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),14.8,1.2,12.4,17.5,,,
2013-2014,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),11.3,1.6,8.1,15.1,,,
2013-2014,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),39.8,1.8,35.5,44.1,,,
2013-2014,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),6.3,1.3,3.8,9.7,,,
2013-2014,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),12.4,1.5,9.3,16.0,,,
2013-2014,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),9.7,1.1,7.0,13.0,,,
2013-2014,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),6.7,1.0,4.7,9.2,,,
2013-2014,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),16.8,1.7,13.2,20.8,,,
2013-2014,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),21.2,2.6,15.7,27.5,,,
2013-2014,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),20.2,1.9,16.3,24.5,,,
2013-2014,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.2,1.6,7.0,14.2,,,
2013-2014,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),20.4,2.6,15.2,26.5,,,
2013-2014,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),29.7,4.2,20.9,39.7,,,
2013-2014,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),9.2,0.8,7.5,11.2,,,
2013-2014,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),3.2,0.7,1.8,5.3,,,
2013-2014,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),12.9,2.0,9.0,17.8,,,
2013-2014,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),12.1,1.8,8.6,16.4,,,
2015-2016,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),13.9,1.4,11.1,17.2,,,
2015-2016,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),9.6,1.0,7.4,12.1,,,
2015-2016,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),38.9,2.6,33.4,44.7,,,
2015-2016,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),4.5,1.1,2.5,7.4,,,
2015-2016,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),14.2,2.0,10.2,19.1,,,
2015-2016,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),10.3,1.6,7.0,14.4,,,
2015-2016,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),7.6,1.5,4.7,11.5,,,
2015-2016,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),13.3,2.1,9.1,18.4,,,
2015-2016,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),21.2,2.4,16.3,26.8,,,
2015-2016,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),18.4,1.8,14.6,22.7,,,
2015-2016,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.1,2.5,5.4,16.7,,,
2015-2016,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),18.4,2.7,13.0,24.9,,,
2015-2016,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),26.9,2.9,20.7,33.7,,,
2015-2016,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),9.3,1.0,7.2,11.8,,,
2015-2016,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),5.1,1.2,2.8,8.2,,,
2015-2016,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),7.9,1.6,4.9,12.0,,,
2015-2016,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),15.3,2.0,11.2,20.2,,,
2017-2018,All,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),14.6,1.1,12.4,17.1,,,
2017-2018,All,20-49,Non-Hispanic White,Herpes Simplex Virus Type 2 (HSV-2),11.7,1.5,8.6,15.4,,,
2017-2018,All,20-49,Non-Hispanic Black,Herpes Simplex Virus Type 2 (HSV-2),33.6,2.9,27.3,40.5,,,
2017-2018,All,20-49,Non-Hispanic Asian,Herpes Simplex Virus Type 2 (HSV-2),3.8,0.9,2.0,6.4,,,
2017-2018,All,20-49,Hispanic,Herpes Simplex Virus Type 2 (HSV-2),14.3,1.4,11.4,17.7,,,
2017-2018,All,20-49,Mexican American,Herpes Simplex Virus Type 2 (HSV-2),10.5,1.6,7.2,14.6,,,
2017-2018,All,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),7.6,0.8,5.8,9.8,,,
2017-2018,All,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),15.1,1.3,12.4,18.2,,,
2017-2018,All,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),22.1,2.2,17.5,27.3,,,
2017-2018,Female,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),19.2,1.3,16.4,22.1,,,
2017-2018,Female,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),10.3,1.4,7.4,13.8,,,
2017-2018,Female,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),19.0,2.2,14.4,24.4,,,
2017-2018,Female,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),29.2,3.5,22.0,37.4,,,
2017-2018,Male,20-49,All,Herpes Simplex Virus Type 2 (HSV-2),10.0,1.3,7.4,13.2,,,
2017-2018,Male,20-29,All,Herpes Simplex Virus Type 2 (HSV-2),5.0,1.1,2.8,8.0,,,
2017-2018,Male,30-39,All,Herpes Simplex Virus Type 2 (HSV-2),11.0,2.1,7.0,16.4,,,
2017-2018,Male,40-49,All,Herpes Simplex Virus Type 2 (HSV-2),14.8,2.9,9.1,22.2,,,
